2023,Regular Unleaded Gasoline / Essence ordinaire,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Prepared by Kent Group Ltd.,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
c/litre,"Retail prices, including taxes, self serve / Prix au detail, avec taxes, libre service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,3/14,3/21,3/28,4/4,4/11,4/18,4/25,5/2,5/9,5/16,5/23,5/30,6/6,6/13,6/20,6/27,7/4,7/11,7/18,7/25,8/1,8/8,8/15,8/22,8/29,9/5,9/12,9/19,9/26,10/3,10/10,10/17,10/24,10/31,11/7,11/14,11/21,11/28,12/5,12/12,12/19,12/26
WHITEHORSE,169.9,169.9,169.9,169.5,168.9,169.6,169.4,168.9,163.9,159.9,159.9,171.9,179.9,180.2,182,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,184.5,192.5,193.9,193.9,193.9,193.9,193.2,193.4,193.9,193.9,192.3,189.9,189.9,189.9,189.9,189.9,189.9,185.9,179.9,179.9,179.9
VANCOUVER*,171.5,172.5,177.8,182.8,185.2,177.7,181.6,188.4,186.9,185.7,184,178,184.1,185.6,188,192.5,188,185.7,182.4,183.7,188.6,196.6,195,201.5,205.8,208.5,197.7,195.1,194.4,196.7,203.2,205.4,207.4,206,209.7,200.4,199.8,204.3,204.1,210.2,178.8,179.6,181,180.4,178.7,180.1,181.3,176.1,174.9,173.3,169.8,169.3
VICTORIA,160.2,169.8,169.4,175.6,179.9,179.4,177.7,176.9,180.2,181,182.7,180.6,179.9,180,180.5,183.9,189.9,187.8,184.7,182.9,182.9,187.2,192,195.2,199.9,199.9,198.8,196.1,194.9,194.6,193.6,195.2,198.6,199.9,200.1,201.3,199.9,199.9,199.9,209.2,204.9,191.9,187.1,184.6,181.2,179.9,179.9,179.1,175.2,173.1,171.8,169.1
PRINCE GEORGE,152.9,159.3,158.2,159.9,163.7,163.3,159.9,157.2,155.1,159.2,162.3,162.9,162.9,164.5,167.7,168,167,166.9,166.5,165,164.9,165.1,164.9,165.7,164.9,168.1,164.4,163.9,163.9,163.9,163.9,164.1,166.2,167.5,167.9,167.8,167.7,169.3,168.3,167.3,166.7,165.8,164.4,163.9,163.6,163.6,163.4,162,161.5,157,153.8,151.6
KAMLOOPS,159.7,160.3,159.9,160.7,162.5,159.9,159.9,159.9,159.9,162.6,169.7,169.9,169.9,170.4,170.2,175.6,176.6,172.8,172.6,172.6,172.1,173.9,173.6,173.7,173.2,172.9,172.9,172,169.6,168.5,170.3,175.5,176.2,172.7,172.5,171.8,171.4,174.7,170.1,171.8,171.9,171.1,170.2,168.9,168.1,168.3,167.5,164.7,162.8,161.3,157.2,155.2
KELOWNA,155,160.8,160,166.6,171.7,165.8,163.2,161.2,159.2,165.5,169.4,167.8,165.6,174.5,174.9,178.1,172,170.9,167.6,167.3,175.3,175.9,173,177.5,180.4,177.3,174.9,172.4,168.8,165,177.5,178.2,181.8,182.3,177.5,174.2,171,180.4,179.5,177.1,174.3,172.9,171.1,168.7,167.9,167.6,166.3,163.1,160.3,159.4,155.7,149.3
FORT ST. JOHN,171.9,171.9,171.9,171.9,171.8,171.9,171.8,171.9,171.9,171.8,171.9,171.9,171.8,171.9,171.9,173.3,171.9,171.9,170.7,166.1,165.9,169.4,165.4,167.5,165.9,166.1,165.7,165.9,165.9,165.5,166.8,165.7,169.1,165.7,165.5,165.7,165.9,166.1,165.7,166.3,166.1,164.4,164.5,164.7,164.7,164.8,165,165.1,164.9,162.9,152.4,146.3
ABBOTSFORD,157.1,158.5,163.3,170.6,176.4,171,169.9,179.1,177.5,173,171.9,165.6,171.9,177.9,175.7,178.8,182.2,177.5,169.2,167.4,173.6,182.2,182.7,189.1,190.3,194.4,187,180.1,174.9,180.6,191.6,195.5,190.9,190.2,195.3,192.1,187.5,189.3,188,194.5,184.6,168.9,164.2,165.5,158.6,163.3,168.9,161.6,160,156.3,151.9,149.5
YELLOWKNIFE,154.9,155.3,155.4,159.4,162.7,162.2,160.4,160.4,159.9,159.9,161.1,163.2,164.4,164.3,165.9,167.4,167.4,167.4,166.5,165.6,165.6,165.3,167.4,167.4,167.4,165.9,166.2,166.5,165.9,167.4,167.4,166.2,167.4,167.4,167.4,167.4,166.8,167.4,167.4,167.4,167.4,167.4,168.6,168.9,168.9,168.9,168.9,168.6,166.9,165.2,163.3,161.9
CALGARY*,125.8,127.4,123.3,132.9,130.7,127.8,125.1,123.2,125.5,132.2,132.4,130.9,129,140.2,140.8,147.5,147.6,147,146.5,145.1,144.5,147.2,146.9,145.9,144.3,143.3,142.4,141.4,141.1,140.3,143.2,144.2,147.8,148.7,147.1,145.2,143.9,143.5,142.2,141.3,140.1,137.7,136.4,134.8,133.4,132.2,129.9,126.8,125.1,122.7,119.1,117.1
RED DEER,126.9,125.3,121.5,124.2,121.3,121.2,119.9,120.2,120.1,127.6,132.7,132.5,132.2,138,138.1,139.4,138.9,138.5,136.8,136.1,136.1,140.8,140.7,137.6,137.5,138.2,137.1,136.5,136.5,136.4,138.4,141.2,145.6,147.9,147.5,146.7,145.2,145.1,144.9,144.8,144.3,140.1,136.9,136.9,136.7,136.9,136.5,133.1,130.1,127.3,123.3,120.9
EDMONTON,125.8,127.4,123.1,129.9,128.9,125.6,122.9,121,122.4,128.9,128.8,127.6,126.2,137.8,138,142.9,141.6,139.2,137.5,136.5,136,141.1,141.8,140.4,138.9,138.1,137.6,136.9,136.3,135.3,138.7,139.4,143.1,144.3,143.3,142,142,142.2,141.7,141.3,140.3,138.9,137.8,136.9,135.9,134.4,132.4,130.4,128.8,125.4,121.5,118.1
LETHBRIDGE,126.6,123.6,122.8,126.1,132.2,130.9,129.9,129.9,129.8,129.9,132.1,133.6,133.6,134.4,136,143,145.8,144.7,140.9,140.9,140.9,141.4,141.4,140.9,140.9,140.9,141.2,140.9,140.9,140.9,140.9,141.7,145.4,148.1,147.9,147.9,147.9,147.9,147.9,147.4,147.3,147.2,145.7,143.4,143.3,143.3,140.6,138.2,136.9,133.5,124.2,116.5
LLOYDMINSTER,125.2,126.8,126.9,129.9,130.7,130.4,128.5,126,125.9,130,132.9,132.9,132.9,137.6,139.4,142.7,143.9,142.6,139.9,139.9,139.9,143.7,143.1,140.7,140.3,139.9,139.1,136.9,136.8,136.9,138.3,139,144.8,147.2,145.6,142.9,142.9,142.9,142.8,142.8,140.5,138.1,135.1,134.8,134.8,134.9,134.3,130.9,129.6,125,119.9,117.9
GRANDE PRAIRIE,127.4,125.5,128.1,130.1,132.8,131.5,129.9,129.9,129.9,131.5,136.2,137,135.9,142,145.1,143.9,143.5,142,141.9,141.9,141.9,143.4,142.3,140.3,142.2,141.1,140.6,139.9,139.9,138.8,138.3,139.7,145,145.3,144.4,143.3,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,136.5,134.9,134.3,128.7,124.9
REGINA*,141.5,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,148.8,156.7,156.9,157,158,160.6,160.5,160.6,160.5,159.4,158.8,158.7,162,161.2,159.8,159.8,159.6,157.9,155.8,155.7,155.7,158.3,159.6,164.6,165.2,164.2,163.8,163.8,163.8,163.8,162.3,159.8,156.9,155.8,154.2,152.8,150.2,147.8,147.8,147.1,140.4,135.9,132
SASKATOON,140.1,147.6,147.3,147.6,147.9,147.8,147.3,147.2,143.4,143.7,156.5,156,155.5,153.1,155.2,161.5,162.2,157.5,157.1,155.8,153.4,156.7,154.1,153.3,156.5,159.5,159.4,155.4,154,149.7,154.9,157.1,159.3,158.5,156.1,155.7,155.8,155.9,155.8,155.7,155.6,150,149.7,147.2,143,143.6,142.5,141.7,141.7,136.1,129.7,127.4
PRINCE ALBERT,140.9,147.4,147.7,147.9,147.9,147,142.8,140.7,134.7,143,152.6,154,153.9,154.6,154.2,162.5,162.8,158.8,157.8,157.9,157.9,161.4,163.5,158.8,158.8,158.7,158.5,156.5,154.9,155.2,158.1,159.8,163.4,165.9,164.9,163.8,162.1,159.5,158.9,158.7,158.3,155.8,150.6,149.9,149.7,145.1,144.1,143.9,143.9,140.6,133.9,132.5
MOOSE JAW,138.4,146.4,147.9,147.9,147.9,147.9,147.9,147.9,147.9,148.3,156.1,156.9,156.9,157.4,159.3,160.6,160.6,160.6,160.8,159.6,159.3,160.2,162.9,161,160.8,160.2,159.5,157.7,157.2,156.3,157.4,158.8,162.4,165.5,165.9,165.9,165,164.3,163.2,163.1,160.3,158.5,155.9,154.9,153.1,152.9,151.1,146.7,145.9,144.1,138.3,134.1
WINNIPEG,147.7,147.4,144.5,142.8,154.5,154.7,153.7,152.5,151.7,151.2,151.8,151.5,151.2,152.7,156.5,164.1,167.2,167.2,166,164.3,161.2,159.2,158.7,157.5,157.3,157.3,157.3,157.3,157.3,157.3,158.3,157.4,163.5,165.7,165.4,165.6,165.6,164.3,161.6,159.5,158.3,156.7,154.4,153,153,152.9,152,149.9,145.1,138.7,137.1,133.5
BRANDON,149.9,149.9,149.9,149.9,153.5,150.9,149.9,149.9,149.9,149.9,153,154.6,156,155.4,157.6,163.6,167.9,167.9,167.9,167.9,163.5,159.9,159.9,159.9,159.9,159.9,159.9,159.1,158,157.9,158,157.9,163.7,166.9,166.9,166.9,166.9,166.8,165.6,164.9,161.9,156.6,155.9,155.9,155.9,155.9,154,149.4,147.7,142.4,137,135.6
CITY OF TORONTO*,146.9,143.3,146.5,152.3,153.5,144.8,145.9,146.3,142.8,147.4,149.1,142.5,144.2,148.7,154.7,157.5,160.7,157.1,151.2,153.6,156.4,163.6,160.4,161.8,160.6,158.9,156.3,158.8,160.6,163.9,169.2,167.7,171.3,170,168.9,167.8,168.7,171.8,159.4,158.3,151.5,149.8,154.7,154.8,150.2,148.6,149,149,147.3,143.3,142.2,146.5
