date,ABBOTSFORD,Atlantic Ave(P),BARRIE,BATHURST,BRANDON,BRANTFORD,CALGARY,CAMPBELLTON,CHARLOTTETOWN,CHICOUTIMI,CITY OF TORONTO,CORNER BROOK,Canada Ave(V),Canada(P),Canada(S),DRUMMONDVILLE,EDMONTON,EDMUNDSTON,FORT ST. JOHN,FREDERICTON,GANDER,GASPÉ,GATINEAU,GRAND FALLS,GRANDE PRAIRIE,GUELPH,HALIFAX,HAMILTON,KAMLOOPS,KELOWNA,KENTVILLE,KINGSTON,KITCHENER,LABRADOR CITY,LETHBRIDGE,LLOYDMINSTER,LONDON,Large Markets Ave(P),Large Markets Ave(S),MIRAMICHI,MONCTON,MONTRÉAL,MOOSE JAW,NEW GLASGOW,NORTH BAY,OSHAWA,OTTAWA,Ontario Ave(P),PEEL REGION,PETERBOROUGH,PRINCE ALBERT,PRINCE GEORGE,QUÉBEC,Quebec Ave(P),RED DEER,REGINA,RIMOUSKI,SAINT JOHN,SASKATOON,SAULT STE MARIE,SHERBROOKE,ST JOHNS,ST. CATHARINES,SUDBURY,SUSSEX,SYDNEY,Small Markets Ave(P),Small Markets Ave(S),THUNDER BAY,TIMMINS,TROIS RIVIÈRES,TRURO,VAL D'OR,VANCOUVER,VICTORIA,WHITEHORSE,WINDSOR,WINNIPEG,WOODSTOCK,Western Ave(P),YARMOUTH,YELLOWKNIFE
2000-01-04,,69.6,,68.9,64.9,,57.4,,62.6,68.4,63.2,75.5,63.9,64.6,66.0,,57.5,,,66.9,76.9,69.7,,,,,69.9,63.9,62.8,60.9,,,,,61.9,,63.4,63.8,64.5,,68.4,69.7,,,67.4,,62.9,63.3,,,64.9,58.9,65.6,69.1,59.9,65.9,,64.6,64.8,68.5,71.9,75.9,61.4,63.8,,68.7,65.6,67.4,61.5,68.3,,69.9,,58.0,61.9,73.8,64.5,62.5,,59.6,67.9,76.0
2000-01-11,,69.2,,68.9,63.9,,56.8,,63.2,68.2,63.1,75.5,63.3,63.9,65.7,,56.5,,,66.9,76.9,69.7,,,,,69.9,60.9,62.8,62.9,,,,,61.9,,62.6,63.1,63.9,,67.2,66.9,,,67.4,,59.8,62.6,,,64.9,58.9,65.6,66.8,59.9,64.9,,63.7,64.3,68.5,69.9,74.9,60.8,61.8,,67.2,65.6,67.4,65.8,68.3,,69.9,,60.3,64.9,73.8,64.0,61.5,,60.2,67.9,76.0
2000-01-18,,68.7,,68.9,64.2,,56.8,,63.2,68.2,65.9,75.4,63.9,64.4,65.6,,56.5,,,63.2,76.9,69.2,,,,,69.9,65.0,62.8,62.9,,,,,61.9,,65.9,63.6,64.2,,66.9,67.5,,,67.4,,64.3,65.3,,,64.9,58.9,60.8,66.5,57.9,64.9,,63.3,63.9,66.5,69.9,74.7,62.8,61.8,,65.9,65.0,66.9,64.9,67.7,,69.9,,55.2,64.9,73.8,63.5,61.5,,58.4,67.9,76.0
2000-01-25,,68.4,,68.9,64.2,,56.9,,63.4,68.2,66.9,75.2,65.5,66.1,66.1,,56.5,,,59.3,76.9,70.7,,,,,69.9,63.8,62.8,62.9,,,,,61.9,,63.8,65.5,65.3,,66.9,71.2,,,66.7,,62.8,65.8,,,64.9,58.9,72.4,71.2,57.9,64.9,,62.9,63.9,66.5,69.9,74.5,65.5,63.7,,67.4,64.8,66.8,68.2,66.9,,69.9,,59.8,64.9,73.8,65.0,61.5,,60.0,67.9,76.5
2000-02-01,,69.6,,68.9,63.9,,56.7,,63.4,68.2,64.3,76.9,63.6,64.2,65.9,,56.5,,,58.2,78.9,71.7,,,,,69.9,64.8,62.9,62.9,,,,,59.4,,61.4,63.4,64.5,,68.9,70.7,,,66.5,,63.5,64.0,,,64.9,63.9,65.4,69.9,57.9,64.9,,68.2,63.9,66.5,72.8,76.5,64.0,60.0,,67.4,65.2,67.2,65.7,66.9,,69.9,,50.4,64.9,73.8,64.8,61.5,,56.8,67.9,77.1
2000-02-08,,68.7,,68.9,62.4,,57.1,,63.4,68.1,65.3,77.9,63.7,64.2,65.9,,56.5,,,55.1,78.9,71.7,,,,,69.9,66.3,62.9,62.9,,,,,59.4,,61.6,63.5,64.7,,62.7,70.3,,,66.4,,62.1,64.7,,,64.9,63.9,67.8,69.9,57.9,64.9,,66.9,63.9,66.5,72.0,76.5,63.4,66.7,,72.4,64.5,67.0,65.3,66.9,,69.9,,48.4,64.9,74.2,64.8,61.5,,56.2,67.9,77.8
2000-02-15,,70.9,,69.4,67.1,,59.4,,63.6,68.1,68.9,77.9,67.6,68.4,68.3,,59.9,,,68.9,78.9,71.7,,,,,72.9,67.2,63.6,63.5,,,,,59.7,,68.8,67.7,67.7,,62.0,72.5,,,69.4,,67.5,68.3,,,68.3,63.9,74.3,72.6,59.9,67.6,,67.7,68.8,69.6,72.0,76.5,67.4,60.8,,72.9,66.5,68.8,68.1,69.7,,71.9,,61.1,64.9,75.0,68.6,65.9,,62.3,70.9,76.8
2000-02-22,,72.2,,69.4,68.6,,62.9,,63.5,72.4,68.9,77.9,69.7,69.9,69.5,,62.9,,,71.9,78.9,72.7,,,,,71.9,67.1,65.9,65.9,,,,,63.7,,68.3,69.3,68.8,,71.9,76.9,,,69.4,,64.8,68.0,,,68.9,65.0,71.0,75.6,62.9,69.8,,70.6,69.9,69.6,72.0,76.5,66.5,67.8,,71.4,68.6,70.1,66.0,69.4,,71.9,,65.1,66.9,75.9,67.8,67.5,,65.3,70.9,77.5
2000-02-29,,71.7,,70.4,68.6,,62.7,,63.5,72.0,71.9,77.9,70.0,70.4,69.9,,62.9,,,71.9,78.9,74.7,,,,,71.9,67.1,64.9,65.9,,,,,64.1,,71.9,69.7,69.4,,68.3,74.6,,,72.4,,70.9,71.1,,,68.9,65.9,68.2,73.5,62.9,69.9,,69.0,69.8,72.5,74.4,77.3,65.9,73.1,,68.9,68.7,70.4,70.8,70.5,,71.9,,62.9,64.9,75.8,67.8,67.5,,64.4,70.9,78.5
2000-03-07,,74.6,,71.9,70.9,,64.8,,65.7,72.3,73.4,80.6,72.7,73.2,72.6,,64.9,,,68.9,81.9,76.2,,,,,74.9,73.1,68.9,68.9,,,,,64.1,,73.9,72.5,72.2,,73.9,78.3,,,75.4,,69.6,72.8,,,72.9,68.1,72.8,77.1,64.9,72.9,,72.6,72.9,76.5,74.8,79.9,74.5,70.6,,75.9,71.4,72.9,73.3,74.3,,74.9,,68.0,70.2,75.8,71.5,69.5,,67.8,73.7,79.5
