Unnamed: 0,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,3/24,3/31,4/7,4/14,4/21,4/28,5/5,5/12,5/19,5/26,6/2,6/9,6/16,6/23,6/30,7/7,7/14,7/21,7/28,8/4,8/11,8/18,8/25,9/1,9/8,9/15,9/22,9/29,10/6,10/13,10/20,10/27,11/3,11/10,11/17,11/24,12/1,12/8,12/15,12/22,12/29,Average
WHITEHORSE,114.9,106.9,106.9,94.9,94.9,98.9,98.9,99.9,99.9,99.9,99.9,104.9,104.9,109.9,109.9,109.9,109.9,109.9,109.9,112.2,112.2,112.2,112.2,106.9,109.9,109.9,106.9,118.6,118.6,119.9,119.9,119.9,119.9,129.9,126.9,126.9,126.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,112.9,115.2,109.9,109.9,109.9,99.9,99.9,99.9,111.4
VANCOUVER,106.8,103.8,101.9,103.8,110.6,115.2,118.8,121.8,131.5,124.6,120.6,123.4,122.8,121.8,122.6,125.8,128.5,134.6,131.4,132.7,134.0,134.6,131.6,139.6,135.6,134.6,135.5,137.6,138.4,135.5,134.6,127.2,132.7,128.9,124.3,121.1,115.4,115.7,116.5,113.2,117.9,117.9,116.8,125.5,129.6,120.6,124.6,126.6,122.6,122.6,124.6,125.9,124.3
VICTORIA,101.6,101.5,96.8,95.9,99.5,102.7,102.9,104.9,124.0,120.9,119.9,118.8,118.8,118.8,117.8,117.7,117.9,124.9,124.9,124.9,123.9,123.9,123.9,129.9,129.9,128.8,127.9,127.9,127.8,127.8,126.9,126.0,123.9,123.8,119.8,115.8,111.1,108.3,108.0,107.5,106.7,112.5,109.8,109.7,118.8,118.6,114.6,114.6,114.9,113.0,112.6,112.6,116.5
PRINCE GEORGE,94.5,89.8,86.8,86.3,99.9,99.5,99.8,103.2,103.8,103.8,102.1,107.9,107.9,106.9,104.9,103.9,102.5,102.5,102.5,105.2,109.8,110.3,110.5,118.9,118.9,117.8,117.3,115.5,114.5,114.6,114.5,114.5,126.4,119.3,112.4,107.5,106.8,110.9,114.0,117.5,119.9,110.9,107.0,111.3,110.5,107.5,96.9,94.9,91.9,97.9,96.1,94.9,106.6
KAMLOOPS,94.2,93.3,91.2,88.5,99.9,100.4,100.5,99.6,104.9,111.3,107.3,114.0,111.1,108.6,106.5,109.7,108.2,116.3,112.1,111.1,113.2,119.3,117.8,122.5,122.5,121.0,123.9,127.2,122.1,127.1,125.3,122.3,130.6,124.6,115.4,112.3,113.6,108.6,116.0,113.5,116.2,109.6,104.5,110.1,114.1,102.9,93.2,92.7,96.3,103.9,101.2,101.2,110.3
KELOWNA,102.9,99.9,98.1,95.8,98.8,104.9,103.1,109.9,109.9,115.9,115.9,114.9,110.9,110.9,108.9,113.9,111.7,117.6,116.9,116.9,115.2,111.1,122.9,126.6,121.9,120.1,125.4,125.9,125.9,131.9,128.2,125.4,134.2,129.6,123.8,120.9,122.7,117.9,117.9,117.9,121.5,117.9,117.9,115.9,115.9,111.3,106.3,102.3,98.7,96.1,107.5,107.9,114.7
FORT ST. JOHN,110.3,108.7,103.9,103.9,103.9,103.9,103.9,104.1,106.4,104.9,104.9,106.2,111.3,111.3,111.6,111.6,111.6,111.6,111.6,111.6,112.6,117.6,127.3,125.4,126.6,126.6,126.6,126.6,126.1,126.6,126.6,126.2,137.7,133.7,129.7,126.9,126.2,122.2,122.2,122.8,123.9,123.9,123.9,123.9,122.2,121.4,118.1,116.6,115.4,114.9,113.9,113.9,117.4
ABBOTSFORD,,,,,,,,,,,,,,,,,,,,,,,,126.5,124.9,122.0,121.9,127.3,128.9,125.0,125.0,120.0,118.0,116.5,111.2,109.7,105.2,101.8,105.4,99.3,102.1,105.1,102.2,105.8,113.1,110.8,115.3,110.1,108.0,114.4,108.1,108.0,113.5
YELLOWKNIFE,113.9,106.4,106.4,103.9,103.9,108.9,108.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,119.9,119.9,119.9,119.9,119.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,128.9,118.9,118.9,118.9,123.9,123.9,123.9,123.9,126.4,126.4,126.4,123.4,123.4,111.9,111.9,109.9,109.9,109.9,109.9,119.5
CALGARY,82.1,78.5,80.1,76.6,84.4,90.0,93.2,90.0,99.1,93.3,87.7,94.6,93.6,96.9,91.8,95.1,97.0,96.3,99.0,95.3,105.3,107.4,107.4,115.4,112.2,106.8,110.6,110.4,109.2,101.6,100.0,112.3,121.3,114.1,105.7,101.4,99.9,105.4,109.2,110.8,111.2,106.3,103.0,103.8,107.7,99.6,92.6,89.5,85.3,87.9,94.2,90.9,99.1
